title,url,source,category,college,location,description,department,specialization,systemGroup
Associate Professor,https://jobs.apply.vt.edu/jobs/associate-professor-blacksburg-virginia-virginia-united-states,VA,Faculty,Virginia Tech,"Blacksburg, VA",,,,
Associate Professor,https://facultycareers.gsu.edu/postings/6210,GA,Faculty,Georgia State University,"Atlanta, GA",,,,Georgia
Associate Professor,https://spelman.peopleadmin.com/postings/9957,GA,Faculty,Spelman College,"Atlanta, GA",,,,Georgia
Associate Professor,https://fa-ewkd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/42768,FL,Faculty,University of South Florida,"Tampa, FL",,,,Florida
Associate Professor - Electrical and Computer Engineering Electrical and Computer Engineering,https://ap.washington.edu/ahr/position-details/?job_id=123255,WA,Faculty,University of Washington,"Seattle, WA",,Electrical and Computer Engineering Electrical and Computer Engineering,Electrical and Computer Engineering Electrical and Computer Engineering,Washington
Associate Professor - Medicinal Chemistry,https://www.sujobopps.com/postings/111354,NY,Faculty,Syracuse University,"Syracuse University, NY",,Medicinal Chemistry,Medicinal Chemistry,New York Public
Associate Professor - Ph.D. Program in Speech-Language-Hearing Sciences,https://cuny.jobs/new-york-ny/associate-professor-phd-program-in-speech-language-hearing-sciences/524163B6F97A495A98C26A33F0B4B0D4/job/,NY,Faculty,Graduate Center,"Graduate Center, NY","Associate Professor - Ph.D. Program in Speech-Language-Hearing Sciences FACULTY VACANCY ANNOUNCEMENT Performs teaching, research and guidance duties in area(s) of expertise. Shares responsibility for committee and department assignments including administrative, supervisory, and other functions. The CUNY Graduate Center invites applications for a full-time, tenure-track faculty member at the rank of Associate Professor in the Ph.D. Program in Speech-Language-Hearing Sciences withan anticipated start date of August 2026. We seek outstanding scientists with a strong publication record, and significant research experiencespecializing in the field of Hearing Science (human studies). Since its inception in 1965, the PhD Program in Speech-Language-Hearing Sciences has trained scholars and researchers to address major issues of human communication and its disorders using rigorous research methods.The Program features faculty whose primary appointment is at the Graduate Center and faculty whose primary appointments are at other colleges within the City University of New York (CUNY) system.¿This appointment is at the Graduate Center. In addition to laboratories located at The Graduate Center, our faculty and students also have access to CUNY’s Advanced Science Research Center where MR imaging facilities are located and the resources of Empire AI. These arrangements provide our faculty and students with exposure to diverse research fields and approaches andoffer our students a multifaceted research-based doctoral education where they will gain the knowledge, skills, and attitudes to continue learning and growing throughout their professional lives. The Associate Professor for the Ph.D. Program in Speech-Language-Hearing Sciences will be a key contributor to fostering our high standard of doctoral education. This faculty member will regularly teach, train, and mentor graduate level doctoral students, and potentially master’s students from related programs like cognitive neuroscience, while maintaining a record of research scholarship and extramural funding. They will also contribute to various activities including serving on committees, organizing colloquia, and other programmatic needs. About the Graduate Center: The Graduate Center of CUNY is the focal point for advanced teaching and research at CUNY, the nation’s largest urban public university. With over 35 doctoral and master's programs of the highest caliber, the Graduate Center fosters pioneering research and scholarship in the arts and sciences and prepares students for careers in universities and the private, nonprofit, and government sectors. The Graduate Center's commitment to research and scholarship for the public good is exemplified by its more than 30 centers, institutes, and initiatives, including its Advanced Science Research Center (ASRC), a 200,000 square-foot facility in upper Manhattan, designed to promote collaboration among scientists in five areas of global research and innovation: nanoscience, photonics, structural biology, neuroscience, and environmental sciences. The Graduate Center (GC) benefits from highly ambitious and diverse students and alumni who, in turn, teach hundreds of thousands of undergraduates every year. Through its public programs, the Graduate Center enhances New York City's intellectual and cultural life. QUALIFICATIONS For Assistant, Associate, or Full Professor: Ph.D. degree in Communication Sciences, Neuroscience, Psychology, or related field. Also required are the ability to teach successfully, demonstrated scholarship or achievement, and ability to cooperate with others for the good of the institution. COMPENSATION $109,898-$129,041/year (salary range will increase to $113,745-$133,558 on 9/1/26 per the CUNY PSC contract). Salary commensurate with experience and qualifications.CUNY offers faculty a competitive compensation and benefits package covering health insurance, pension and retirement benefits, paid parental leave, and savings programs. We also provide mentoring and support for research, scholarship, and publication as part of our commitment to ongoing faculty professional development. HOW TO APPLY Click on ""Apply Now"" below which will bring you to the registration screen. If you are a new user, you must register to apply. If you already have a user ID, please use your existing ID to apply. Our graduate programs value inclusivity as a form of excellence and strongly encourage women and individuals from underrepresented populations to apply. Please submit the following documents as one file: Cover letter CV Research statement outlining both past research accomplishments and a vision for scientific research at CUNY. Contact information for three professional references (name, title, institution, and email address). Candidates must be legally authorized to work in the United States on a full-time basis. CLOSING DATE Open until filled with review of applications to begin on January 26, 2026 JOB SEARCH CATEGORY CUN",Ph.D. Program in Speech-Language-Hearing Sciences,Ph.D. Program in Speech-Language-Hearing Sciences,New York Public
Associate Professor – Emergency Medicine (PEM Division Director),https://jobs.rutgers.edu/postings/266081,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,,,
Associate Professor (Tenured or Tenure-track),https://employment.marquette.edu/postings/23417,WI,Faculty,Marquette University,"Milwaukee, WI",,,,
Associate Professor (WOT) — Neurological Surgery Neurological Surgery,https://ap.washington.edu/ahr/position-details/?job_id=158191,WA,Faculty,University of Washington,"Seattle, WA",,Neurological Surgery Neurological Surgery,Neurological Surgery Neurological Surgery,Washington
Associate Professor / Professor of Hospitality,https://uta.peopleadmin.com/postings/32966,TX,Faculty,University of Texas at Arlington,"Arlington, TX",,Hospitality,Hospitality,Texas
Associate Professor & Associate Dean of Academics,https://jobs.shu.edu/cw/en-us/job/496859/associate-professor-associate-dean-of-academics,NJ,Faculty,Seton Hall University,"Seton Hall University, NJ",,,,
"Associate Professor and Program Director (Tenure Track), Ferkauf Graduate School of Psychology, School-Clinical Child PsyD Program",https://careers.pageuppeople.com/876/cw/en-us/job/498537/associate-professor-and-program-director-tenure-track-ferkauf-graduate-school-of-psychology-schoolclinical-child-psyd-program,NY,Faculty,Yeshiva University,"Bronx, NY",,,,New York Public
Associate Professor in Couple and Family Therapy: Medical Family Therapy and Inter-professional Practice,https://www.ugajobsearch.com/postings/457156,GA,Faculty,University of Georgia,"Athens, GA",,Couple and Family Therapy: Medical Family Therapy and Inter-professional Practice,Couple and Family Therapy: Medical Family Therapy and Inter-professional Practice,Georgia
Associate Professor of Accounting,https://chicagostate.peopleadmin.com/postings/16033,IL,Faculty,Chicago State University,"Chicago, IL",,Accounting,Accounting,
Associate Professor of Clinical Neurology - General Neurology/Regional,https://apply.interfolio.com/178217,NY,Faculty,University of Rochester,"Rochester - NY, NY","The Department of Neurology at the University of Rochester School of Medicine and Dentistry invites applications for a full-time Associate Professor of Clinical Neurology in the area of General Neurology with a willingness to work in the New York State regional areas, including Brockport, Geneseo, and Batavia.&nbsp;&nbsp;&nbsp;&nbsp; The Department of Neurology at the University of Rochester represents a talented team of neurologists, scientists, nurse practitioners, nurses, research coordinators, trainees, and staff who are singularly focused on making a difference in the lives of people with neurological and disabling conditions.&nbsp; We are a committed group of over 100 faculty who routinely rank nationally as a US News and World Report Best Hospitals, and as one of the top Departments of Neurology in NIH funding. Rochester is an extremely livable, family-friendly, and attractive medium-sized city. Based on its residents’ short commute times, the relatively low cost of living, and the affordability of housing, Forbes Magazine ranked Rochester the 3rd best place in America to raise a family in 2010.&nbsp; Rochester has the arts, culture, and dining of larger cities along with five nationally ranked high schools. Located at the southern edge of Lake Ontario where the Finger Lakes meet the Great Lakes, Rochester provides easy access to a wealth of outdoor recreation. Rochester is a hub of innovation with a strong job market, educated workforce, and cluster of institutions of higher education. Rochester’s lively ""knowledge economy"" draws its strength from Bausch &amp; Lomb, Xerox, growing telecommunications, ""biotech"" and IT sectors and other technology-driven enterprises located here.&nbsp; It is home to the renowned Eastman School of Music, Rochester Philharmonic, and Rochester Institute of Technology, in addition to the University of Rochester.",Clinical Neurology - General Neurology/Regional,Clinical Neurology - General Neurology/Regional,New York Public
Associate Professor of Costume Design,https://employment.uncsa.edu/postings/10264,NC,Faculty,UNC School of the Arts,"Winston-Salem, NC",,Costume Design,Costume Design,
Associate Professor of Economics,https://facultyjobs.lehigh.edu/node/1078,PA,Faculty,Lehigh University,"Bethlehem, PA",,Economics,Economics,
Associate Professor of Educational Leadership—PK-12 Education,https://jobs.charlotte.edu/postings/66480,NC,Faculty,UNC Charlotte,"Charlotte, NC",,Educational Leadership,Educational Leadership,
Associate Professor of Instruction,https://fa-ewkd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/42731,FL,Faculty,University of South Florida,"Tampa, FL",,Instruction,Instruction,Florida
Associate Professor of Interior Design,https://morgan.peopleadmin.com/postings/8461,MD,Faculty,Morgan State University,"Baltimore, MD",,Interior Design,Interior Design,Maryland
Associate Professor of Law,https://apply.interfolio.com/168281,NY,Faculty,Columbia University,"Columbia University, NY","&nbsp; Columbia Law School is seeking to hire one or more tenure track faculty members in the area of law. The position will teach a full academic load; regularly publish significant scholarly work; and if ultimately appointed as a tenured member of the Law School faculty, actively participate in faculty affairs, including membership on standing faculty committees in consideration of a wide range of issues including faculty appointments and curricular modifications.",Law,Law,New York Public
Associate Professor of Law,https://indiana.peopleadmin.com/postings/31902,IN,Faculty,Indiana University,"Bloomington, IN",,Law,Law,Indiana
